Payment Method,Total Margin,Rural?
RRC,0.092,Rural
RRC,-0.064,Rural
RRC,0.932,Rural
RRC,0.061,Rural
RRC,1.286,Rural
RRC,-0.012,Rural
RRC,0.098,Rural
REH,-0.072,Rural
RRC,-0.19,Rural
RRC,0.18,Rural
RRC,0.102,Rural
RRC,0.125,Rural
RRC,0.08,Rural
RRC,-0.004,Rural
RRC,-0.09,Rural
RRC,-0.128,Rural
RRC,-0.159,Rural
RRC,0.325,Rural
RRC,-0.153,Rural
REH,-0.184,Rural
REH,-0.103,Rural
REH,-0.112,Rural
REH,-0.078,Rural
REH,-0.375,Rural
REH,-0.212,Rural
REH,0.041,Rural
REH,-0.25,Rural
REH,-0.055,Rural
REH,0.333,Rural
REH,-0.348,Rural
REH,-0.278,Rural
RRC,0.009,Rural
RRC,-0.003,Rural
RRC,0.042,Rural
RRC,0.139,Rural
RRC,-0.023,Rural
RRC,0.26,Rural
RRC,-0.04,Rural
RRC,-0.016,Rural
RRC,0.134,Rural
RRC,0.238,Rural
RRC,0.341,Rural
RRC,0.177,Rural
RRC,0.104,Rural
RRC,0.032,Rural
RRC,0.199,Rural
RRC,-0.059,Rural
RRC,0.04,Rural
RRC,0.146,Rural
RRC,0.053,Rural
RRC,-0.099,Rural
RRC,-0.043,Rural
RRC,-0.081,Rural
RRC,-0.004,Rural
RRC,0.122,Rural
RRC,-0.115,Rural
RRC,-0.02,Rural
RRC,0.089,Rural
RRC,-0.304,Rural
RRC,0.392,Rural
RRC,0.184,Rural
RRC,0.045,Rural
RRC,0.371,Rural
RRC,0.442,Rural
RRC,-0.109,Rural
RRC,-0.083,Rural
RRC,-0.067,Rural
RRC,0.074,Rural
RRC,0.007,Rural
RRC,-0.025,Rural
RRC,-0.032,Rural
RRC,0.049,Rural
RRC,-0.039,Rural
RRC,0.27,Rural
RRC,0.04,Rural
RRC,0.108,Rural
RRC,-0.025,Rural
RRC,0.069,Rural
RRC,-0.022,Rural
RRC,0.133,Rural
RRC,-0.134,Rural
RRC,-0.108,Rural
RRC,0.008,Rural
RRC,-0.008,Rural
RRC,,Rural
RRC,-0.175,Rural
RRC,0.019,Rural
RRC,-0.057,Rural
RRC,0.011,Rural
RRC,-0.044,Rural
RRC,1.271,Rural
RRC,0.266,Rural
RRC,0.281,Rural
RRC,0.007,Rural
RRC,0.011,Rural
RRC,0.001,Rural
RRC,-0.213,Rural
RRC,-0.172,Rural
RRC,-0.049,Rural
RRC,-0.025,Rural
RRC,0.064,Rural
RRC,0.094,Rural
RRC,-0.155,Rural
RRC,-0.044,Rural
RRC,0.026,Rural
RRC,0.068,Rural
RRC,-0.043,Rural
RRC,-0.094,Rural
RRC,-0.015,Rural
RRC,0.376,Rural
RRC,-0.045,Rural
RRC,-0.01,Rural
RRC,0.395,Rural
